client_id,campagne_id,date_conversion,montant_achat,version_banniere
CUST_10007,105,2026-03-30,60.89,Version_B
CUST_10008,102,2026-01-02,49.08,Version_B
CUST_10018,112,2026-01-15,113.89,Version_A
CUST_10020,112,2026-03-22,61.69,Version_B
CUST_10021,103,2026-02-10,118.27,Version_B
CUST_10028,110,2026-03-04,23.09,Version_B
CUST_10046,102,2026-01-01,63.9,Version_A
CUST_10070,109,2026-01-14,43.22,Version_A
CUST_10086,110,2026-02-01,339.14,Version_B
CUST_10091,109,2026-01-07,133.46,Version_B
CUST_10093,112,2026-03-07,281.24,Version_A
CUST_10095,106,2026-02-21,85.96,Version_A
CUST_10101,112,2026-03-04,170.46,Version_A
CUST_10102,110,2026-03-03,29.8,Version_B
CUST_10103,109,2026-01-01,159.96,Version_A
CUST_10110,104,2026-03-31,28.49,Version_A
CUST_10122,112,2026-02-04,32.75,Version_A
CUST_10154,102,2026-03-13,59.26,Version_A
CUST_10158,105,2026-02-01,290.74,Version_B
CUST_10179,101,2026-03-22,15.96,Version_B
CUST_10185,112,2026-02-03,57.55,Version_A
CUST_10188,111,2026-02-16,82.0,Version_A
CUST_10199,111,2026-01-23,52.96,Version_A
CUST_10207,110,2026-02-16,160.69,Version_B
CUST_10215,111,2026-02-07,111.14,Version_B
CUST_10220,109,2026-03-27,102.8,Version_B
CUST_10231,112,2026-02-20,319.24,Version_B
CUST_10263,111,2026-01-13,188.6,Version_A
CUST_10266,112,2026-02-05,197.35,Version_B
CUST_10270,112,2026-03-23,311.45,Version_B
CUST_10274,112,2026-02-20,76.29,Version_B
CUST_10280,110,2026-02-10,214.86,Version_A
CUST_10287,111,2026-03-26,140.05,Version_B
CUST_10308,107,2026-01-07,202.66,Version_B
CUST_10322,102,2026-01-18,37.25,Version_B
CUST_10325,112,2026-03-26,47.74,Version_A
CUST_10331,104,2026-01-11,118.18,Version_A
CUST_10336,103,2026-03-03,78.28,Version_B
CUST_10340,110,2026-02-13,93.87,Version_B
CUST_10353,102,2026-01-18,110.67,Version_B
CUST_10361,103,2026-01-13,157.87,Version_B
CUST_10362,103,2026-01-29,20.08,Version_B
CUST_10368,105,2026-03-20,13.66,Version_A
CUST_10373,109,2026-03-13,183.21,Version_B
CUST_10382,108,2026-03-09,127.11,Version_B
CUST_10385,109,2026-03-20,249.42,Version_B
CUST_10410,101,2026-03-23,19.18,Version_B
CUST_10411,112,2026-03-17,186.19,Version_A
CUST_10413,103,2026-02-15,35.37,Version_A
CUST_10416,111,2026-03-19,49.93,Version_A
CUST_10433,111,2026-01-21,518.88,Version_A
CUST_10438,109,2026-02-23,121.53,Version_B
CUST_10444,102,2026-02-13,135.6,Version_A
CUST_10446,109,2026-02-01,350.26,Version_A
CUST_10456,103,2026-03-24,27.34,Version_A
CUST_10482,106,2026-02-06,25.59,Version_A
CUST_10487,105,2026-02-04,244.46,Version_A
CUST_10523,105,2026-02-16,28.52,Version_A
CUST_10557,102,2026-02-01,92.52,Version_B
CUST_10565,109,2026-01-16,226.99,Version_B
CUST_10572,104,2026-01-23,101.35,Version_A
CUST_10582,109,2026-01-02,66.73,Version_A
CUST_10590,112,2026-01-13,199.92,Version_B
CUST_10592,106,2026-01-02,10.03,Version_B
CUST_10594,102,2026-01-11,58.11,Version_B
CUST_10596,109,2026-03-03,38.41,Version_A
CUST_10617,101,2026-03-01,143.66,Version_B
CUST_10622,107,2026-03-28,106.91,Version_B
CUST_10623,103,2026-01-05,20.17,Version_B
CUST_10628,108,2026-03-22,36.18,Version_A
CUST_10635,112,2026-01-17,40.44,Version_B
CUST_10658,109,2026-03-31,116.95,Version_B
CUST_10665,106,2026-02-07,111.11,Version_A
CUST_10666,112,2026-03-12,209.7,Version_A
CUST_10696,109,2026-03-25,100.23,Version_B
CUST_10716,111,2026-03-04,93.77,Version_A
CUST_10722,101,2026-01-03,16.93,Version_B
CUST_10732,111,2026-01-01,512.68,Version_A
CUST_10739,111,2026-01-25,41.24,Version_A
CUST_10752,111,2026-01-16,140.66,Version_A
CUST_10753,103,2026-02-08,96.16,Version_A
CUST_10761,111,2026-02-15,118.64,Version_A
CUST_10765,110,2026-03-24,426.63,Version_B
CUST_10771,108,2026-02-02,35.98,Version_A
CUST_10772,109,2026-02-28,228.84,Version_B
CUST_10781,104,2026-03-06,157.04,Version_A
CUST_10783,112,2026-01-19,94.93,Version_B
CUST_10796,106,2026-01-08,173.63,Version_A
CUST_10808,108,2026-01-30,178.89,Version_A
CUST_10816,110,2026-03-14,103.7,Version_B
CUST_10829,110,2026-02-02,75.45,Version_B
CUST_10864,104,2026-03-11,59.02,Version_A
CUST_10873,109,2026-03-22,27.36,Version_B
CUST_10882,101,2026-03-08,21.59,Version_B
CUST_10883,109,2026-01-13,140.26,Version_B
CUST_10887,104,2026-03-13,51.59,Version_A
CUST_10891,112,2026-03-07,167.35,Version_B
CUST_10896,109,2026-01-19,49.7,Version_A
CUST_10906,112,2026-01-26,81.79,Version_B
CUST_10910,111,2026-01-09,230.34,Version_B
CUST_10919,109,2026-03-24,62.47,Version_B
CUST_10938,112,2026-02-12,128.5,Version_B
CUST_10942,111,2026-02-16,122.78,Version_B
CUST_10947,104,2026-03-16,146.44,Version_B
CUST_10951,112,2026-03-31,97.05,Version_B
CUST_10965,110,2026-02-07,156.59,Version_B
CUST_10974,102,2026-03-23,78.02,Version_B
CUST_10983,110,2026-02-11,216.02,Version_A
CUST_10985,106,2026-03-08,57.59,Version_B
CUST_10989,104,2026-03-31,21.66,Version_A
CUST_11011,105,2026-03-01,133.29,Version_B
CUST_11014,103,2026-03-09,165.03,Version_B
CUST_11018,111,2026-02-16,58.0,Version_B
CUST_11023,101,2026-01-17,227.88,Version_B
CUST_11036,104,2026-02-04,48.96,Version_A
CUST_11041,111,2026-03-05,98.99,Version_B
CUST_11045,103,2026-03-19,63.73,Version_B
CUST_11048,112,2026-02-22,44.83,Version_A
CUST_11058,110,2026-03-03,315.43,Version_B
CUST_11080,106,2026-02-23,19.13,Version_A
CUST_11083,111,2026-01-17,174.24,Version_B
CUST_11087,109,2026-02-03,21.91,Version_A
CUST_11097,106,2026-02-28,177.01,Version_A
CUST_11100,111,2026-03-04,350.39,Version_A
CUST_11109,103,2026-01-12,129.74,Version_A
CUST_11126,110,2026-02-05,72.49,Version_A
CUST_11156,111,2026-01-30,75.35,Version_A
CUST_11178,104,2026-02-22,136.52,Version_B
CUST_11182,105,2026-01-21,35.55,Version_B
CUST_11195,101,2026-03-20,115.57,Version_B
CUST_11199,111,2026-01-25,155.29,Version_A
CUST_11213,104,2026-02-28,95.95,Version_B
CUST_11218,112,2026-01-08,72.61,Version_A
CUST_11245,110,2026-02-25,227.37,Version_A
CUST_11281,105,2026-02-02,14.38,Version_B
CUST_11284,112,2026-02-26,174.74,Version_A
CUST_11292,103,2026-03-07,44.63,Version_B
CUST_11300,112,2026-01-28,69.86,Version_A
CUST_11319,109,2026-01-05,41.55,Version_A
CUST_11329,111,2026-03-31,111.19,Version_B
CUST_11333,102,2026-03-17,18.62,Version_B
CUST_11349,103,2026-02-04,118.97,Version_A
CUST_11355,104,2026-01-16,71.89,Version_A
CUST_11365,110,2026-01-23,52.48,Version_B
CUST_11387,103,2026-03-31,49.93,Version_B
CUST_11413,110,2026-01-31,104.29,Version_B
CUST_11433,109,2026-02-10,247.21,Version_B
CUST_11435,109,2026-02-17,95.13,Version_A
CUST_11438,109,2026-01-12,423.33,Version_B
CUST_11448,103,2026-03-11,78.01,Version_B
CUST_11471,111,2026-03-27,44.79,Version_A
CUST_11485,103,2026-03-29,184.61,Version_B
CUST_11491,109,2026-03-24,76.95,Version_A
CUST_11494,108,2026-02-16,371.67,Version_B
CUST_11502,110,2026-02-19,49.04,Version_B
