campagne_id,canal_marketing,nom_campagne,budget_depense
101,Facebook Ads,Campagne_Fac_1,20795
102,Facebook Ads,Campagne_Fac_2,5860
103,Facebook Ads,Campagne_Fac_3,10390
104,Facebook Ads,Campagne_Fac_4,16964
105,Google Ads,Campagne_Goo_1,16284
106,Google Ads,Campagne_Goo_2,11265
107,Google Ads,Campagne_Goo_3,21850
108,Google Ads,Campagne_Goo_4,9426
109,Influenceurs,Campagne_Inf_1,19423
110,Influenceurs,Campagne_Inf_2,16363
111,Influenceurs,Campagne_Inf_3,21023
112,Influenceurs,Campagne_Inf_4,13322
